District,Price
North District,$30
North District,$30
North District,$25
North District,$25
North District,$35
North District,$35
North District,$29
North District,$29
North District,$29
North District,$30
North District,$28
Sham Shui Po District,$36
Sham Shui Po District,$38
Sham Shui Po District,$38
Sham Shui Po District,$32
Sham Shui Po District,$36
Sham Shui Po District,$37
Tsuen Wan District,$43
Tsuen Wan District,$32
Tsuen Wan District,$32
Tsuen Wan District,$36
Tsuen Wan District,$36
Tsuen Wan District,$30
Tsuen Wan District,$36
Tsuen Wan District,$35
Tsuen Wan District,$40
Tsuen Wan District,$30
Tsuen Wan District,$35
Tsuen Wan District,$30
Tsuen Wan District,$33
Tsuen Wan District,$37
Tsuen Wan District,$30
Sham Shui Po District,$36
Sha Tin District,$25
Sha Tin District,$35
Sha Tin District,$30
Sha Tin District,$30
Central and Western District,$25
Central and Western District,$36
Central and Western District,$33
Sai Kung District,$35
Sai Kung District,$38
Sai Kung District,$33
Eastern District,$40
Eastern District,$38
Eastern District,$25
Sai Kung District,$42
Wong Tai Sin District,$25
Kwun Tong District,$28
Kowloon City District,$32
Kowloon City District,$27
Tsuen Wan District,$35
Sham Shui Po District,$33
Sham Shui Po District,$35
Sham Shui Po District,$28
Sham Shui Po District,$28
Sham Shui Po District,$32
Sham Shui Po District,$28
Sham Shui Po District,$36
Sham Shui Po District,$30
Sham Shui Po District,$35
Sham Shui Po District,$32
Sham Shui Po District,$35
Sham Shui Po District,$35
Sham Shui Po District,$32
Sham Shui Po District,$34
Sham Shui Po District,$32
Sham Shui Po District,$28
Sham Shui Po District,$30
Sham Shui Po District,$26
Sham Shui Po District,$30
Sham Shui Po District,$30
Sham Shui Po District,$33
Sham Shui Po District,$32
Sham Shui Po District,$38
Sham Shui Po District,$28
Islands District,$62
Islands District,$41
Southern District,$25
Kwun Tong District,$33
Kwun Tong District,$25
Wong Tai Sin District,$28
Wong Tai Sin District,$36
Wong Tai Sin District,$30
Wong Tai Sin District,$33
Wong Tai Sin District,$34
Wong Tai Sin District,$30
Southern District,$45
Southern District,$43
Wong Tai Sin District,$33
Wong Tai Sin District,$33
Wong Tai Sin District,$35
Kowloon City District,$50
Wong Tai Sin District,$36
Wong Tai Sin District,$40
Wong Tai Sin District,$32
Wong Tai Sin District,$38
Wong Tai Sin District,$28
Wong Tai Sin District,$28
Wong Tai Sin District,$32
Wong Tai Sin District,$36
Wong Tai Sin District,$38
Eastern District,$32
Eastern District,$33
Eastern District,$25
Eastern District,$25
Eastern District,$30
Eastern District,$33
Kwai Tsing District,$34
Kwai Tsing District,$32
Kwai Tsing District,$32
Kwai Tsing District,$32
Kwai Tsing District,$30
Kwai Tsing District,$40
Kwai Tsing District,$35
Kwai Tsing District,$25
Kwai Tsing District,$35
Kwai Tsing District,$28
Kwai Tsing District,$29
Kwai Tsing District,$32
Kwai Tsing District,$30
Kwai Tsing District,$40
Kwai Tsing District,$32
Kwai Tsing District,$35
Kwai Tsing District,$32
Kwai Tsing District,$36
Wong Tai Sin District,$25
Wong Tai Sin District,$33
Wong Tai Sin District,$34
Sai Kung District,$32
Wan Chai District,$68
Wan Chai District,$28
Wan Chai District,$35
Wan Chai District,$35
Wan Chai District,$30
Wan Chai District,$34
Wan Chai District,$35
Kowloon City District,$30
Wong Tai Sin District,$36
Sai Kung District,$33
Sai Kung District,$33
Sai Kung District,$32
Sai Kung District,$30
Yuen Long District,$38
Southern District,$25
Southern District,$29
Kwun Tong District,$35
Kwun Tong District,$29
Kwun Tong District,$28
Kwun Tong District,$35
Kwun Tong District,$25
Sai Kung District,$39
Sai Kung District,$25
Sai Kung District,$33
Sai Kung District,$30
Sai Kung District,$40
Eastern District,$40
Eastern District,$34
Eastern District,$38
Eastern District,$50
Wan Chai District,$48
Wan Chai District,$36
Wan Chai District,$39
Wan Chai District,$35
Wan Chai District,$36
Wan Chai District,$38
Wan Chai District,$35
Wan Chai District,$36
Wan Chai District,$28
Wan Chai District,$35
Wan Chai District,$42
Wan Chai District,$42
Wan Chai District,$39
Wan Chai District,$30
Wan Chai District,$45
Wan Chai District,$38
Wan Chai District,$32
Wan Chai District,$33
Wan Chai District,$30
Wan Chai District,$36
Wan Chai District,$41
Wan Chai District,$40
Wan Chai District,$30
Wan Chai District,$40
Wan Chai District,$42
Kwun Tong District,$35
Kwun Tong District,$39
Kwun Tong District,$30
Kwun Tong District,$42
Kwun Tong District,$38
Kwun Tong District,$19
Kwun Tong District,$33
Kwun Tong District,$35
Kwun Tong District,$25
Kwun Tong District,$30
Kwun Tong District,$30
Kwun Tong District,$34
Kwun Tong District,$38
Kwun Tong District,$26
Kwun Tong District,$32
Kwun Tong District,$28
Wong Tai Sin District,$33
Wong Tai Sin District,$30
Wong Tai Sin District,$33
